,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches,Snow Inches
0,Busselton,AU,2020-05-07 16:39:46,-33.65,115.33,57.0,98,54,11.54,light rain,0.23,0.0
1,Hermanus,ZA,2020-05-07 16:39:46,-34.42,19.23,63.0,88,100,3.83,overcast clouds,0.0,0.0
2,Kodiak,US,2020-05-07 16:39:46,57.79,-152.41,44.6,81,90,29.97,light rain,0.25,0.0
3,Lata,PT,2020-05-07 16:39:46,40.16,-8.33,77.0,61,39,5.99,scattered clouds,0.0,0.0
4,Mar Del Plata,AR,2020-05-07 16:36:30,-38.0,-57.56,62.01,59,0,12.75,clear sky,0.0,0.0
5,Khatanga,RU,2020-05-07 16:39:46,71.97,102.5,3.6,92,34,10.85,scattered clouds,0.0,0.0
6,Hashtrud,IR,2020-05-07 16:39:47,37.48,47.05,49.62,67,6,18.5,clear sky,0.0,0.0
7,Praia,CV,2020-05-07 16:36:47,14.92,-23.51,82.4,54,20,21.92,few clouds,0.0,0.0
8,Potosi,BO,2020-05-07 16:39:47,-19.58,-65.75,53.51,33,100,0.69,overcast clouds,0.0,0.0
9,Ponta Do Sol,PT,2020-05-07 16:39:47,32.67,-17.1,66.2,72,75,3.36,broken clouds,0.0,0.0
10,Mackay,AU,2020-05-07 16:35:06,-21.15,149.2,66.2,88,11,5.82,few clouds,0.0,0.0
11,Itoman,JP,2020-05-07 16:39:47,26.12,127.67,75.2,78,75,12.75,broken clouds,0.0,0.0
12,Ribeira Grande,PT,2020-05-07 16:39:47,38.52,-28.7,64.4,77,40,13.87,scattered clouds,0.0,0.0
13,Ushuaia,AR,2020-05-07 16:35:32,-54.8,-68.3,44.6,70,100,4.7,overcast clouds,0.0,0.0
14,Yima,CN,2020-05-07 16:39:48,34.74,111.88,62.01,1,100,4.36,moderate rain,1.91,0.0
15,Tual,ID,2020-05-07 16:39:48,-5.67,132.75,83.14,79,7,19.82,clear sky,0.0,0.0
16,Roznava,SK,2020-05-07 16:39:48,48.66,20.54,57.2,43,20,6.93,few clouds,0.0,0.0
17,Ulladulla,AU,2020-05-07 16:39:48,-35.35,150.47,59.0,72,33,5.82,scattered clouds,0.0,0.0
18,Bambous Virieux,MU,2020-05-07 16:39:48,-20.34,57.76,75.2,88,40,3.36,scattered clouds,0.0,0.0
19,Las Palmas,ES,2020-05-07 16:39:48,28.42,-14.01,71.6,68,40,17.22,scattered clouds,0.0,0.0
20,Kruisfontein,ZA,2020-05-07 16:39:48,-34.0,24.73,62.64,71,100,0.74,overcast clouds,0.0,0.0
21,Sanchazi,CN,2020-05-07 16:39:48,42.08,126.6,51.51,65,61,3.76,broken clouds,0.0,0.0
22,Avarua,CK,2020-05-07 16:39:49,-21.21,-159.78,71.6,100,46,2.24,scattered clouds,0.0,0.0
23,Hilo,US,2020-05-07 16:38:41,19.73,-155.09,69.8,83,40,3.36,scattered clouds,0.0,0.0
