City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saint George,US,2020-05-04 03:26:50,37.1,-113.58,80.6,13,1,3.36
1,Ushuaia,AR,2020-05-04 03:24:02,-54.8,-68.3,39.2,69,75,14.99
2,Mataura,NZ,2020-05-04 03:28:19,-46.19,168.86,45.46,91,100,7.99
3,Punta Arenas,CL,2020-05-04 03:28:19,-53.15,-70.92,35.6,93,99,6.93
4,Rocha,UY,2020-05-04 03:27:26,-34.48,-54.33,50.49,89,10,4.74
5,Tiksi,RU,2020-05-04 03:28:19,71.69,128.87,24.44,93,43,8.75
6,Busselton,AU,2020-05-04 03:28:20,-33.65,115.33,69.01,71,100,23.89
7,That Phanom,TH,2020-05-04 03:28:20,16.94,104.71,91.4,74,75,4.7
8,Hithadhoo,MV,2020-05-04 03:28:20,-0.6,73.08,85.77,73,100,12.26
9,Palmer,US,2020-05-04 03:28:20,42.16,-72.33,61.0,71,75,0.92
10,Porto Santo,PT,2020-05-04 03:28:20,33.07,-16.34,62.6,72,40,18.34
11,Bethel,US,2020-05-04 03:27:27,41.37,-73.41,64.4,52,1,4.7
12,Bluff,NZ,2020-05-04 03:28:20,-46.6,168.33,47.35,76,96,17.96
13,Andes,CO,2020-05-04 03:28:21,5.66,-75.88,60.01,96,100,1.86
14,Cape Town,ZA,2020-05-04 03:27:36,-33.93,18.42,55.0,93,21,2.24
15,Astoria,US,2020-05-04 03:28:21,46.19,-123.83,54.0,71,1,4.7
16,Nanortalik,GL,2020-05-04 03:28:21,60.14,-45.24,37.67,93,100,15.32
17,Jamestown,US,2020-05-04 03:28:21,42.1,-79.24,57.2,47,1,3.36
18,Kurilsk,RU,2020-05-04 03:28:21,45.23,147.88,52.36,75,100,14.27
19,North Bend,US,2020-05-04 03:28:21,43.41,-124.22,55.99,76,1,8.05
20,East London,ZA,2020-05-04 03:28:21,-33.02,27.91,59.0,93,40,6.93
21,Bathsheba,BB,2020-05-04 03:28:22,13.22,-59.52,80.6,78,75,20.8
22,Olafsvik,IS,2020-05-04 03:28:22,64.89,-23.71,42.67,83,100,23.91
23,Rikitea,PF,2020-05-04 03:28:22,-23.12,-134.97,73.4,73,91,16.55
24,Mount Gambier,AU,2020-05-04 03:28:22,-37.83,140.77,55.4,76,90,1.12
25,Alipur Chatha,PK,2020-05-04 03:28:22,32.27,73.82,104.0,29,64,5.91
26,Benicarlo,ES,2020-05-04 03:28:22,40.42,0.43,55.0,82,83,4.9
27,Tautira,PF,2020-05-04 03:28:22,-17.73,-149.15,84.2,74,20,6.93
